,,,,Marketwise Price & Arrival Report (31-07-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 31 Jul, 2026","Price on 30 Jul, 2026","Price on 29 Jul, 2026","Arrival on 31 Jul, 2026","Arrival on 30 Jul, 2026","Arrival on 29 Jul, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2391.60,2402.94,2389.14,227.37,328.22,11.92
Cereals,Barley(Jau),2150.00,2305.00,-,-,0.40,-,-
Cereals,Jowar(Sorghum),3699.00,5849.85,5564.33,5749.45,33.80,37.77,15.50
Cereals,Maize,2400.00,2255.00,1500.00,2655.00,0.10,2.80,0.10
Cereals,Paddy(Common),2369.00,2356.17,2048.60,2377.98,1.20,1.00,4.10
Cereals,Wheat,2585.00,2615.61,2638.80,2709.71,716.68,1113.91,895.97
Fibre Crops,Cotton,7710.00,8773.53,8948.62,8870.35,77.50,88.10,85.10
Oil Seeds,Groundnut,7263.00,7105.64,7052.03,7108.73,92.58,74.32,73.29
Oil Seeds,Mustard,6200.00,7469.95,7434.44,7339.49,187.40,209.69,29.98
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,12798.74,12557.82,12207.93,245.63,197.94,87.30
Oil Seeds,Soyabean,5328.00,6640.37,6607.96,6547.39,57.48,41.84,22.40
Pulses,Bengal Gram(Gram)(Whole),5875.00,6576.48,6062.32,6974.76,191.90,168.59,157.30
Pulses,Black Gram(Urd Beans)(Whole),7800.00,9025.25,9199.37,9271.42,43.74,22.60,21.04
Pulses,Green Gram(Moong)(Whole),8768.00,7669.83,7656.43,7457.97,140.46,104.30,136.40
Pulses,Red gram/Arhar/Tur(whole),8000.00,7205.10,7168.55,7065.05,109.90,213.95,51.70
Vegetables,Onion,-,1918.29,2244.36,2271.28,662.90,1713.73,1388.63
Vegetables,Potato,-,1067.71,1066.78,1069.29,1348.40,1631.37,1597.09
Vegetables,Tomato,-,2121.27,2225.21,2332.30,842.85,862.96,837.63

